Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,19.0,1.0,19.0,19.0,0.0,23.80400000000001,0.0,0.0,0.013465166091918945,,,,,,,,,,,,,,,,,,,,,3.338273373274188,2.1963599324338987,5.905268270978197,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,43.0,2.0,24.0,43.0,0.0,30.405000000000012,0.0,0.0,2.5545592308044434,,,,,,,,,,,,,,,,,,,,,3.463465650742355,2.2287397342961777,5.956089746614391,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,61.0,3.0,18.0,61.0,0.0,25.802000000000007,0.0,0.0,4.6562254428863525,,,,,,,,,,,,,,,,,,,,,3.8540291916196403,1.9911944307523248,5.932907006066263,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,96.0,4.0,35.0,96.0,0.0,40.80600000000002,0.0,0.0,8.13705825805664,,,,,,,,,,,,,,,,,,,,,3.270360025972899,1.5701750256046978,5.80646253545622,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,121.0,5.0,25.0,121.0,0.0,36.403,0.0,0.0,10.775237798690796,,,,,,,,,,,,,,,,,,,,,4.04205514174901,2.057195601735392,5.9785902262527735,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,140.0,6.0,19.0,140.0,0.0,24.704000000000008,0.0,0.0,12.763750076293945,,,,,,,,,,,,,,,,,,,,,3.4784225727993423,2.249644757252572,5.929195756602044,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,177.0,7.0,37.0,177.0,0.0,60.20399999999999,0.0,0.0,16.49609661102295,,,,,,,,,,,,,,,,,,,,,4.656740499566955,2.0353003881462417,5.98797199530968,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,202.0,8.0,25.0,202.0,0.0,40.202999999999996,0.0,0.0,19.172393560409546,,,,,,,,,,,,,,,,,,,,,4.496775239929347,1.9637701343992808,5.985550294866841,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,218.0,9.0,16.0,218.0,0.0,20.703000000000007,0.0,0.0,20.866227388381958,,,,,,,,,,,,,,,,,,,,,3.388062358016509,2.1217975386726375,5.855393138092546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,244.0,10.0,26.0,244.0,0.0,36.20399999999999,0.0,0.0,23.65120506286621,,,,,,,,,,,,,,,,,,,,,3.8660317059261873,2.021248754715257,5.93246549643561,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,264.0,11.0,20.0,264.0,0.0,28.703000000000007,0.0,0.0,25.774174451828003,,,,,,,,,,,,,,,,,,,,,3.900980571355588,2.1540237328176794,5.961929910416452,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,283.0,12.0,19.0,283.0,0.0,27.703000000000007,0.0,0.0,28.019725561141968,,,,,,,,,,,,,,,,,,,,,3.9486308036924287,2.2109007947438504,5.963145397126521,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,307.0,13.0,24.0,307.0,0.0,35.702999999999996,0.0,0.0,30.427014350891113,,,,,,,,,,,,,,,,,,,,,4.12571734667613,1.7833151774397378,5.932170343866711,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,328.0,14.0,21.0,328.0,0.0,26.40400000000001,0.0,0.0,32.6409912109375,,,,,,,,,,,,,,,,,,,,,3.3903493561638167,2.1241582346029975,5.916027775223414,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,342.0,15.0,14.0,342.0,0.0,18.702000000000005,0.0,0.0,34.19161105155945,,,,,,,,,,,,,,,,,,,,,3.4504513301267106,1.97092997741778,5.788873513891144,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
